,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
949,Wickham,684,France,Female,48,3,73309,1,0,0,21228,1
950,Bird,635,France,Female,48,8,130796,2,1,1,43250,0
951,Ch'en,789,Germany,Male,33,8,151607,1,1,0,4389,0
952,Wood,571,Germany,Female,66,9,111577,1,0,1,189271,0
953,Brizendine,694,Spain,Male,39,0,107042,1,1,1,102284,0
954,Ch'in,665,Spain,Male,42,2,156371,2,0,1,156774,1
955,Yusupov,706,France,Male,44,5,129605,1,0,0,69865,0
956,Jibunoh,807,Spain,Female,43,0,0,2,0,1,85523,0
957,Ts'ui,771,Spain,Female,67,8,0,2,1,1,51219,0
958,Ndukaku,531,Spain,Male,27,8,132576,1,0,0,7222,0
959,Wilder,629,France,Female,37,6,129101,1,1,1,23971,0
960,Maclean,850,Germany,Female,31,1,108822,1,1,1,132173,0
961,Ch'iu,685,Spain,Male,35,5,137948,1,1,0,113639,0
962,Cox,642,Spain,Male,32,7,100433,1,1,1,39768,0
963,Nepean,529,Spain,Male,63,4,96134,3,1,0,108732,1
964,McNess,683,Germany,Female,43,4,115888,1,1,1,117349,1
965,Coles,663,France,Female,37,5,124626,1,1,1,78004,0
966,Benson,563,France,Female,34,6,139810,1,1,1,152417,0
967,Gilbert,637,Spain,Female,34,9,0,2,0,0,26057,0
968,Wilhelm,544,France,Male,37,3,84496,1,0,0,79972,0
969,Sinclair,649,Germany,Male,70,9,116854,2,0,1,107125,0
970,No information avilable,638,France,Female,48,10,138333,1,1,1,47679,0
971,Buckner,723,France,Male,25,3,0,2,1,1,134509,0
972,Padovesi,635,Germany,Male,43,5,78992,2,0,0,153265,0
973,Gray,750,Spain,Female,38,7,97257,2,0,1,179883,0
974,Lu,730,France,Male,34,5,122453,2,1,0,138882,0
975,Wright,750,Spain,Female,36,8,112940,1,0,1,9855,0
976,Palerma,586,France,Female,43,8,132558,1,1,0,67046,1
977,No information avilable,520,France,Female,38,4,0,2,1,0,56388,0
978,Wei,652,France,Female,48,8,133297,1,1,0,77764,0
979,Padovesi,550,France,Female,46,7,0,2,1,0,130590,0
980,Tsao,594,France,Male,27,0,197041,1,0,0,151912,0
981,Franklin,749,Germany,Female,44,0,71497,2,0,0,151083,0
982,Clark,668,France,Male,32,7,0,2,1,1,777,0
983,McGregor,614,Germany,Female,35,6,128100,1,0,0,69454,1
984,Pan,773,France,Male,25,1,124532,2,0,1,11723,0
985,Kenniff,551,Germany,Male,31,9,82293,2,1,1,91565,0
986,Spencer,566,France,Male,36,1,142120,1,1,0,79616,0
987,Lees,569,Spain,Male,34,0,151839,1,1,0,102299,1
988,David,659,Spain,Male,31,7,149620,2,1,1,104533,0
989,Hsing,722,France,Female,49,3,168197,1,1,0,140765,1
990,Burke,655,France,Male,37,5,93147,2,1,0,66214,0
991,Watson,615,France,Female,37,2,97440,2,1,1,139816,0
992,Hawkins,752,Germany,Female,42,3,65046,2,0,1,140139,0
993,Ginn,661,Spain,Female,28,7,95357,1,0,0,102297,0
994,Sozonov,838,Spain,Male,43,9,123105,2,1,0,145765,0
995,Sun,610,Spain,Male,29,9,0,3,0,1,83912,0
996,Hunter,811,Spain,Male,44,3,0,2,0,1,78439,0
997,Manfrin,587,Spain,Male,62,7,121286,1,0,1,6776,0
998,Artamonova,811,Germany,Female,28,4,167738,2,1,1,9903,0
999,Hansen,759,France,Female,38,1,104091,1,0,0,91561,0
1000,Pai,648,Germany,Female,42,8,121980,2,1,0,4027,0
1001,Larsen,788,France,Female,43,10,0,2,1,1,116111,0
1002,Owen,725,Germany,Male,37,1,50880,2,1,1,184023,0
1003,Murphy,646,France,Female,42,3,175159,2,0,0,67124,1
1004,Ekechukwu,601,Germany,Female,26,7,105514,2,1,0,50070,0
1005,Ayers,521,Germany,Male,52,5,116497,3,0,0,53793,1
1006,Johnson,561,Spain,Female,33,6,0,2,1,0,45261,0
1007,Millar,564,France,Male,42,7,99824,1,1,1,36721,0
1008,Farrell,444,France,Male,45,6,0,1,1,0,130009,1
1009,Sanders,650,Spain,Male,71,0,0,1,1,1,175380,0
1010,Herrera,724,France,Male,40,10,0,1,1,0,127847,1
1011,Eberechukwu,719,Spain,Male,35,3,122964,1,1,1,138231,0
1012,Bardin,548,France,Female,29,4,0,2,0,1,48673,0
1013,Nwankwo,635,Spain,Male,24,4,0,2,1,1,70668,0
1014,Talbot,496,Spain,Female,43,3,0,2,0,1,199505,0
1015,McGregor,676,France,Female,37,5,89634,1,1,1,169583,1
1016,Onyeorulu,541,Germany,Male,40,7,95710,2,1,0,49063,0
1017,Goold,778,Germany,Male,41,7,139706,1,1,0,63337,0
1018,Zikoranaudodimma,850,Germany,Female,45,5,103909,1,1,0,60083,1
1019,Garner,633,France,Male,31,1,0,1,1,0,48606,0
1020,Onyinyechukwuka,625,France,Male,49,6,173434,1,1,0,165580,1
1021,Genovese,485,Spain,Male,32,6,102238,2,1,1,194010,0
1022,Mai,547,France,Female,48,1,179380,2,0,1,69263,0
1023,Marshall,642,France,Male,32,3,0,2,1,1,88698,0
1024,Naylor,718,France,Female,25,4,108691,1,1,0,63030,0
1025,Pinto,582,France,Female,32,4,0,2,1,0,59668,0
1026,Fulton,628,France,Male,33,6,0,2,0,0,184230,0
1027,Palerma,737,Germany,Male,35,0,133377,1,0,1,64050,0
1028,McCaffrey,828,Spain,Male,34,5,0,2,1,1,81853,0
1029,Collins,609,Spain,Male,53,10,0,1,1,1,154642,0
1030,Zuev,730,France,Male,39,1,116537,1,0,0,145679,0
1031,Crawford,631,France,Male,22,3,0,2,0,0,30781,0
1032,Genovese,830,Spain,Male,40,4,0,2,0,1,81622,0
1033,Maclean,645,France,Male,29,1,130131,2,0,1,196474,0
1034,Fabro,663,France,Male,46,3,0,2,0,1,176276,0
1035,Price,678,Spain,Male,30,0,0,1,1,0,35113,0
1036,Chatfield,521,France,Male,30,2,107316,1,1,0,64299,0
1037,Volkova,625,France,Female,24,1,0,2,1,1,180969,0
1038,Archer,523,France,Male,30,1,83181,1,1,1,138176,0
1039,Ch'iu,714,France,Female,72,3,0,1,1,1,86733,0
1040,McKay,580,Spain,Male,67,3,153946,1,1,1,7418,0
1041,Craig,722,France,Male,30,5,0,2,1,0,166376,0
1042,Abramovich,630,Spain,Female,39,7,135483,1,1,0,140881,1
1043,Chien,579,France,Male,35,1,0,2,1,0,4460,0
1044,Timms,670,France,Female,38,5,119624,2,1,1,110472,0
1045,Williford,588,Spain,Male,34,6,121132,2,1,0,86460,0
1046,Hamilton,807,Spain,Female,42,1,0,1,1,0,16500,1
1048,Su,812,Germany,Male,25,5,54817,1,1,0,131660,0
1049,McKenzie,631,Germany,Male,40,3,107949,1,1,0,52449,1
1050,Akobundu,682,France,Male,30,4,0,1,0,1,161465,0
1051,Ko,625,Spain,Female,49,2,80816,1,1,1,20018,0
1052,Marcelo,607,Germany,Male,38,3,98205,1,1,0,176318,0
1053,Chukwuebuka,600,Spain,Female,50,6,94684,1,1,1,50488,0
1054,MacDonald,602,Spain,Female,22,7,141604,1,1,0,30379,0
1055,Lampungmeiua,545,Spain,Female,74,3,0,1,1,1,161326,0
1056,Tai,675,Spain,Male,33,3,0,2,1,0,45348,0
1057,Enyinnaya,581,France,Female,47,1,122949,1,0,0,180251,1
1058,McKenzie,640,Germany,Male,33,8,81677,2,0,0,34925,0
1059,Kline,850,France,Male,38,7,80293,1,0,0,126555,0
1060,Ma,490,Spain,Female,48,8,155413,1,1,0,187921,0
1061,Wood,710,Spain,Male,38,4,0,2,1,1,136390,0
1062,Riggs,613,Germany,Male,38,9,67111,1,1,0,78566,1
1063,Capon,812,France,Male,34,5,103818,1,1,1,166038,0
1064,Smith,723,France,Female,20,4,0,2,1,1,140385,0
1065,Davison,512,France,Male,36,4,152169,2,0,0,38629,1
1066,Ingram,731,France,Female,52,10,0,1,1,1,24998,1
1067,Dilke,650,Germany,Male,26,4,214346,2,1,0,128815,0
1068,Gibson,594,France,Male,57,6,0,1,1,0,19376,1
1069,Iadanza,844,France,Male,40,7,113348,1,1,0,31904,1
1070,Hebert,686,Germany,Female,47,5,170935,1,1,0,173179,1
1071,Pinto,695,Germany,Male,52,8,103023,1,1,1,22485,0
1072,Dumetochukwu,624,Spain,Female,23,6,0,2,0,1,196668,0
1073,Ross,503,Spain,Male,37,6,0,2,0,0,136506,0
1074,Jamieson,535,France,Female,31,7,111855,2,1,1,36278,0
1075,Chiganu,743,Germany,Female,32,6,140348,2,1,1,163254,0
1076,Burgess,702,Spain,Male,39,8,0,2,1,0,99654,0
1077,Cheng,658,France,Male,29,3,145512,1,1,0,20207,0
1078,Woods,677,Germany,Female,41,8,146720,2,1,1,4195,0
1079,Liang,664,France,Male,32,10,107209,1,1,1,112340,0
1080,Bluett,766,Germany,Female,38,7,130933,1,0,1,2035,0
1081,Chapman,461,Spain,Female,35,8,0,1,1,0,132295,0
1082,Andrejew,688,Spain,Male,36,0,89772,1,1,0,177383,1
1083,Udobata,678,France,Female,32,5,0,2,1,0,90284,0
1084,Ejimofor,796,France,Female,24,8,0,2,1,0,61349,0
1085,Spyer,803,France,Male,42,5,0,1,1,0,196466,1
1086,Walker,712,France,Male,36,2,100749,3,0,0,70758,1
1087,Palermo,498,France,Female,31,10,0,2,1,0,13892,0
1088,Philip,850,France,Male,22,2,0,2,1,1,9684,0
1089,Fallaci,628,France,Female,51,3,123981,2,1,1,40546,0
1090,Perry,539,Germany,Female,34,4,91622,1,1,1,136603,0
1091,Henderson,732,France,Male,36,7,126195,1,1,1,133172,0
1092,Bergamaschi,715,France,Male,41,4,94267,1,0,1,152821,1
1094,Mackay,813,France,Male,34,0,0,2,1,0,43169,0
1095,Wu,692,France,Male,29,4,0,1,1,0,76755,1
1096,Maslova,756,Germany,Female,39,3,100717,3,1,1,73406,1
1097,Wei,543,France,Female,36,6,0,2,1,0,176728,0
1098,McLean,790,France,Female,26,4,141581,2,0,0,98309,0
1099,Sung,494,Spain,Male,38,7,0,2,1,1,6203,0
1100,Paterson,850,France,Female,39,2,148586,1,1,1,176791,0
1101,Fanucci,703,Spain,Male,29,9,0,2,1,0,50679,0
1102,Thompson,432,Spain,Male,38,7,0,2,1,0,150580,0
1103,Tisdall,512,Germany,Female,32,2,123403,2,1,0,80120,0
1104,Onochie,589,France,Male,28,7,0,2,1,0,151645,0
1105,Mironova,514,France,Female,46,3,106511,1,1,0,55072,0
1106,Ndubueze,678,France,Female,38,2,0,2,0,0,115068,0
1107,Stephenson,420,Germany,Female,34,1,135549,1,0,0,149471,1
1108,Golubev,679,Germany,Male,38,7,110555,2,1,0,46522,0
1109,Liao,595,France,Male,31,4,0,2,1,0,189995,0
1110,Mullan,713,France,Female,52,0,185891,1,1,1,46369,1
1111,Glover,833,Germany,Male,59,1,130854,1,1,1,30722,1
1112,Northey,690,France,Female,42,3,92578,2,0,0,70810,0
1113,Paterson,731,Germany,Female,21,8,132312,1,1,0,106663,1
1114,Maclean,608,France,Female,62,8,144976,1,0,0,175836,1
1115,Howarde,479,Spain,Male,48,5,87070,1,0,1,85646,0
1116,Teng,519,France,Male,37,8,0,2,1,1,101485,0
1117,Colman,731,France,Female,47,1,115414,3,0,0,191734,1
1118,Johnson,617,Spain,Male,61,7,91070,1,1,1,101839,0
1119,Butcher,756,Spain,Male,29,2,117412,2,1,0,4888,0
1120,Stanley,848,Germany,Male,31,4,90018,2,1,0,193132,0
1121,Jackson,809,France,Female,24,4,0,2,1,0,193518,0
1122,Hu,698,Germany,Male,56,1,112414,2,0,0,93982,1
1123,Hill,779,Germany,Male,33,1,158456,1,1,1,197000,1
1124,Pan,606,Spain,Male,35,7,0,1,1,0,106837,1
1125,Han,612,Germany,Female,58,1,149641,1,1,1,115161,0
1126,Wilkie,663,Spain,Female,33,8,122528,1,1,0,196260,0
1127,Bray,549,Germany,Female,45,3,143734,2,1,1,96404,0
1128,Ann,675,France,Female,32,2,155663,1,1,0,97658,0
1129,Souter,669,France,Female,35,7,0,1,1,1,49108,1
1130,Greco,571,Germany,Female,34,1,101736,1,0,1,195651,0
1131,Mao,500,Spain,Male,37,9,125822,1,1,0,111698,0
1132,Anderson,628,France,Male,37,0,0,2,1,1,171707,0
1133,Ma,559,France,Male,34,4,0,2,1,1,66721,0
1134,Black,769,France,Female,27,2,0,1,1,1,57876,0
1135,Medvedeva,733,Germany,Male,31,6,157791,2,0,0,177994,0
1136,Benson,750,France,Male,22,5,0,2,0,1,105125,0
1137,Duncan,583,France,Female,42,4,0,2,1,0,17439,0
1138,Onwudiwe,468,Germany,Male,42,9,181627,2,1,0,172668,0
1139,Mitchell,727,Spain,Female,57,1,109679,1,0,1,753,0
1140,Ferrari,618,France,Female,37,5,96652,1,1,0,98686,1
1141,Russo,617,France,Male,40,5,190008,2,1,1,107047,0
1142,Hazon,793,Spain,Male,41,9,0,2,1,0,152153,0
1143,Henderson,630,France,Male,37,9,0,2,1,1,34338,0
1144,Hardy,765,Germany,Male,43,4,148962,1,0,1,173878,1
1145,Piccio,546,France,Male,28,8,0,1,1,0,159254,0
1146,Dickson,614,Germany,Female,30,3,131344,2,1,0,54776,0
1147,Holden,593,Germany,Female,29,5,101713,3,1,0,134594,0
1148,Hsieh,613,Spain,Male,34,3,0,1,1,1,41724,0
1149,Doherty,655,France,Male,38,4,0,2,0,0,110527,0
1150,Page,700,France,Female,27,6,137963,1,0,0,8996,0
1151,Samuel,826,France,Female,37,4,129938,1,0,1,190200,0
1152,Malloy,652,Germany,Male,45,2,151421,1,0,1,115333,0
1153,Fitts,755,Germany,Female,45,7,135643,1,0,0,143619,1
1154,Iadanza,538,Spain,Male,39,2,122773,2,1,1,58467,0
1155,Wu,729,France,Male,34,3,152303,1,1,0,12128,0
1156,Yefimova,615,France,Male,49,3,0,2,1,1,49872,0
1157,Pan,700,Spain,Male,54,1,79415,1,0,1,139735,0
1158,Ts'ui,434,Germany,Female,58,9,125801,2,1,0,60891,1
1159,Liang,729,Spain,Male,37,10,0,2,1,0,100862,0
1160,Tsao,513,France,Male,35,8,0,1,1,0,76640,1
1161,Abramov,755,France,Male,41,6,104817,1,1,0,126013,1
1162,Millar,615,France,Female,30,9,0,1,1,0,87347,0
1163,Demuth,747,Germany,Female,32,5,67495,2,0,1,77370,0
1164,Genovese,850,France,Female,36,0,164850,1,1,1,62722,0
1165,Lawless,712,Germany,Female,49,5,154776,2,0,0,196257,0
1166,Brooks,622,Germany,Female,28,1,143124,2,1,0,81723,0
1167,Ignatyeva,548,France,Female,35,10,0,1,1,1,31299,0
1168,Balmain,607,France,Female,27,2,0,2,1,0,63495,0
1169,Millar,653,France,Female,38,8,102133,1,1,1,166520,0
1170,Ecuyer,699,Spain,Male,26,6,79932,1,0,0,150242,0
1171,Parkhill,693,Germany,Male,40,0,120711,1,0,0,27345,1
1172,Li Fonti,647,Germany,Female,43,3,122717,2,1,1,87000,0
1173,Beneventi,478,Spain,Female,36,3,92363,2,1,0,44912,0
1174,Despeissis,705,Spain,Female,40,5,97245,1,1,0,179978,1
1175,Atkins,719,Spain,Male,39,5,0,2,1,0,145759,0
1176,Williams,726,France,Male,34,9,0,2,0,0,14121,0
1177,Wright,626,France,Male,21,1,0,2,1,0,66232,0
1178,Hancock,552,France,Male,49,4,0,1,1,1,190296,1
1179,Hsieh,807,Germany,Female,31,1,93460,2,0,0,172782,0
1180,Wilkins,621,France,Male,34,6,0,2,1,1,99128,0
1181,Longo,651,Germany,Female,24,7,40224,1,1,1,178341,0
1182,Mancini,673,France,Female,43,5,168069,1,1,1,146992,1
1183,Madukaego,652,France,Male,36,1,0,2,1,1,151314,0
1184,Winter-Irving,584,Germany,Male,47,7,130538,1,1,0,92915,0
1185,Stewart,756,France,Male,37,3,132623,1,1,1,58974,0
1186,Grant,670,France,Female,35,3,103465,2,1,1,174627,0
1187,Brennan,765,France,Female,50,9,126547,1,1,1,79579,1
1188,She,528,France,Male,30,2,128262,2,1,0,50771,0
1189,Murray,701,France,Male,37,5,169742,1,1,1,153537,1
1190,Rischbieth,797,France,Female,29,1,0,2,1,1,132975,0
1191,Lung,639,Germany,Male,27,3,150795,1,0,1,85208,0
1192,Otutodilichukwu,785,Spain,Female,61,4,129855,2,1,0,170214,1
1193,Thomas,363,Spain,Female,28,6,146098,3,1,0,100615,1
1194,Fiorentini,764,France,Female,24,7,0,2,1,0,186105,0
1195,Hughes,676,France,Female,43,2,0,1,1,1,55119,0
1196,Whitworth,718,Germany,Male,28,4,65643,1,1,0,28760,0
1197,McIntosh,590,Spain,Female,34,6,0,2,1,0,171021,0
1198,Ayers,584,France,Male,38,9,104584,1,1,0,176678,0
1199,Trentino,645,France,Male,41,7,0,1,0,1,28667,0
1200,Boyd,772,Germany,Male,30,6,99785,1,0,0,197238,0
1201,McMasters,399,Germany,Male,46,2,127655,1,1,0,139994,1
1202,Alekseyeva,529,France,Male,22,5,0,1,1,0,151169,0
1203,Miller,463,France,Male,35,2,101257,1,1,1,118113,0
1204,Baranova,630,France,Female,40,7,0,2,1,1,34453,0
1205,Mitchell,780,France,Male,76,10,121313,1,0,1,64872,0
1206,Yobachi,584,Spain,Male,32,5,0,2,1,0,10956,0
1207,Huang,752,Germany,Male,30,4,81523,1,1,1,36885,0
1208,Genovese,697,France,Female,47,6,128252,1,1,1,168053,0
1209,Sorokina,850,France,Female,32,7,0,2,0,0,155227,0
1210,Gray,711,France,Male,51,7,0,3,1,0,38409,1
1211,Ervin,452,France,Female,32,5,0,2,0,1,75279,0
1212,Vance,610,Spain,Male,42,6,0,2,1,0,158302,1
1213,Noble,694,France,Female,22,4,0,2,1,1,11525,0
1214,Milanesi,579,Spain,Male,37,6,0,1,1,0,94993,1
1215,Parkin,745,Spain,Female,54,8,0,1,1,0,173912,1
1216,Cremonesi,572,France,Male,33,5,0,1,0,1,41139,0
1217,Burns,505,Germany,Male,29,3,145541,2,1,1,58019,0
1218,Docherty,706,France,Female,23,5,0,1,0,0,164128,1
1219,Ugonna,693,Germany,Male,44,5,124601,2,1,1,46998,1
1220,No information avilable,725,Germany,Female,33,7,115182,2,1,1,177279,0
1221,Bevan,791,France,Male,37,2,163789,2,1,0,75832,0
1222,Hsia,536,France,Male,46,1,65733,1,1,0,61094,0
1223,O'Neill,699,Spain,Male,47,1,0,2,0,1,30117,0
1224,Johnstone,500,Spain,Female,47,8,128486,1,1,0,179227,0
1225,Pham,707,Spain,Female,53,6,109663,1,1,1,52110,0
1226,Bergamaschi,531,Germany,Female,42,6,88324,2,1,0,75248,0
1227,Murphy,557,France,Female,28,7,146445,2,1,0,184317,0
1228,Osinachi,659,France,Female,38,3,0,2,1,0,158553,0
1229,Muravyov,575,France,Female,31,6,0,2,1,1,95686,0
1230,Igwebuike,775,Germany,Male,36,2,109949,2,0,1,71682,0
1231,Zack,772,Spain,Male,30,4,78653,1,1,0,1790,0
1232,Crawford,587,Germany,Male,46,9,107850,1,1,0,139431,1
1233,Chidiegwu,667,Germany,Female,39,4,83765,2,1,0,118358,0
1234,Lucchesi,771,France,Female,66,7,143773,1,1,1,130827,0
1235,Pan,523,Germany,Male,63,6,116227,1,1,1,119404,0
1236,Trevisani,662,Germany,Male,33,0,103471,1,1,1,162703,0
1237,Yudin,717,France,Male,42,5,0,2,1,0,172665,0
1238,Wade,746,France,Male,24,3,137492,2,0,1,170142,0
1239,Chung,569,France,Male,28,7,0,2,1,0,73977,0
1240,Septimus,579,France,Male,36,9,129829,1,1,1,60906,0
1241,Hargraves,519,France,Female,37,1,146329,2,1,1,194867,0
1242,Chukwukadibia,696,Germany,Male,30,4,114027,1,1,1,193716,0
1243,Sidorov,693,Germany,Male,25,6,146580,1,0,1,14633,0
1244,Bunton,587,Germany,Female,38,0,132122,2,0,0,31730,0
1245,Cameron,626,France,Female,44,10,81553,1,1,0,20063,1
1246,Kung,666,France,Female,66,7,0,2,1,1,99792,0
1247,Hay,512,France,Male,24,6,0,2,1,0,37654,0
1248,Conti,689,Spain,Female,28,3,0,2,1,1,192449,0
1250,Carter,548,Germany,Male,32,5,175214,1,1,1,155165,0
1251,McGregor,588,Germany,Female,40,10,125534,1,1,0,121504,1
1252,Lo,693,France,Male,68,4,97705,1,1,1,61569,0
1253,Chu,499,Germany,Female,55,4,126817,2,1,0,123269,0
1254,Dumetolisa,628,France,Female,46,1,46870,4,1,0,31272,1
1255,Peng,624,Spain,Male,46,3,0,2,1,1,62825,0
1256,Drake-Brockman,733,France,Male,42,9,120094,1,1,0,184056,0
1257,Wan,628,France,Female,38,3,0,2,1,1,48924,0
1258,Cameron,633,France,Female,33,3,0,2,1,0,191111,0
1259,Tretiakov,559,Germany,Female,36,1,104356,2,0,1,54184,0
1260,Ball,704,Germany,Male,27,5,147004,1,1,0,64381,1
1261,Sal,744,Germany,Male,38,6,73023,2,1,0,78770,0
1262,Chung,665,Spain,Female,40,1,97245,1,0,1,116766,0
1264,Gether,837,Spain,Male,31,9,104678,1,0,1,50972,0
1265,Davidson,534,France,Female,55,8,116973,3,1,0,122066,1
1266,Justice,548,France,Female,36,3,0,1,1,0,65996,0
1267,Osonduagwuike,837,Germany,Male,38,2,126732,1,1,1,79577,0
1268,Ewing,658,France,Female,44,6,148481,1,1,0,130529,0
1269,Chin,554,France,Female,38,4,137654,2,1,1,172629,0
1270,Chiang,724,Germany,Male,30,7,115315,1,1,0,15216,0
1271,Ahmed,723,France,Male,42,2,99095,1,1,1,17512,0
1272,Marshall,585,Germany,Female,39,7,165610,2,0,0,131852,0
1273,Tsou,474,France,Male,33,5,0,2,1,0,181945,1
1274,Chien,562,Spain,Male,32,6,161628,1,1,0,91482,0
1275,Ubanwa,719,France,Male,32,9,146605,1,1,1,77119,0
1276,Kapustin,635,Germany,Male,37,5,113488,1,1,0,95611,1
1277,Calabresi,743,France,Male,42,7,77002,2,1,1,80428,0
1278,Hsiao,681,Spain,Male,67,7,0,2,0,1,163714,0
1279,Grant,521,France,Female,39,6,0,2,0,1,27375,0
1280,No information avilable,741,Spain,Male,25,4,0,2,1,1,73873,0
1281,Chia,790,Spain,Male,46,8,182364,1,0,0,139266,1
1282,Ugoji,622,France,Male,35,8,0,2,1,1,131772,0
1284,Mackay,583,France,Male,59,7,127450,1,0,1,67552,0
1285,Nnamutaezinwa,520,Spain,Female,63,5,162278,1,1,1,34765,0
1286,Findlay,579,Spain,Male,37,5,152212,2,0,0,120219,0
1287,Ferri,698,Spain,Male,39,9,161993,1,0,0,90212,0
1288,Ku,548,Spain,Male,39,7,131468,1,1,0,164975,0
1289,Amechi,672,Germany,Male,40,10,102980,1,1,0,1285,1
1290,Kirk,653,Germany,Male,31,9,143321,1,1,0,83679,0
1291,Andrews,734,Spain,Female,37,2,130404,1,0,0,34548,0
1292,Murray,794,France,Female,41,7,0,2,1,1,74275,0
1293,Griffin,641,France,Male,30,2,87505,2,0,1,7278,0
1294,Longstaff,824,France,Male,30,0,133634,1,1,1,162053,0
1295,McWilliam,534,France,Female,33,3,151233,1,0,0,199336,0
1296,Coffee,653,Spain,Male,55,2,70263,1,0,1,62347,0
1297,Hancock,498,France,Male,34,5,0,2,1,1,91711,0
1298,Clark,683,France,Male,37,10,57657,1,0,0,79240,0
1299,Creswell,618,Germany,Male,42,8,153572,2,1,1,76679,0
1300,Dodds,538,France,Male,37,1,134752,1,1,0,162511,0
1301,Ewen,643,Spain,Male,34,3,83132,1,1,1,21360,0
1302,Carter,428,France,Female,31,2,0,2,1,0,54487,0
1303,Ch'iu,593,Germany,Female,32,9,134096,2,1,0,53931,1
1304,Tsao,718,France,Female,31,0,118100,2,1,0,103165,0
1305,Burgess,811,Germany,Male,52,10,76915,1,0,0,146359,1
1306,Fanucci,823,Spain,Female,46,3,81576,1,1,1,28370,1
1307,Blackburn,645,Spain,Male,49,2,0,2,0,0,10023,0
1308,Bennett,710,France,Male,33,10,118327,2,1,1,192928,0
1309,Boniwell,591,Spain,Male,30,8,124857,2,0,0,50485,0
1310,Vasilieva,748,Germany,Female,27,2,90971,1,1,1,131662,0
1311,Longo,850,France,Female,37,7,153147,1,1,1,152235,0
1312,Kwemto,542,France,Male,38,8,65942,1,1,1,68093,1
1313,Lawrence,809,France,Male,38,3,97245,2,1,1,80061,0
1314,Duncan,675,France,Male,54,2,0,1,1,0,149583,1
1315,Bocharova,607,Spain,Female,27,5,100912,1,0,0,7631,0
1316,Morres,850,France,Female,37,4,0,2,1,1,33082,0
1317,Shih,789,France,Male,37,3,0,1,1,0,121883,1
1318,Vogel,598,France,Female,43,5,0,1,1,1,100722,1
1319,T'an,756,Germany,Male,41,2,124439,2,0,1,47093,0
1320,Wisdom,687,France,Female,47,7,0,2,1,1,177624,0
1321,Lorenzo,724,France,Male,40,6,0,2,0,0,106149,0
1322,Shahan,700,France,Female,44,2,58781,1,1,0,16874,0
1323,Bryant,635,Spain,Male,50,7,159453,2,0,0,54560,1
1324,Liang,687,Germany,Male,26,2,142721,1,1,1,153605,0
1325,Chidozie,613,France,Female,46,8,167795,1,0,1,44390,0
1326,Hayward,781,France,Female,38,3,128345,2,1,0,63218,0
1327,Liu,703,Spain,Male,20,3,165260,1,1,1,41626,0
1328,Alexeeva,593,Germany,Female,62,3,118233,1,0,1,24765,1
1329,Calabresi,743,France,Female,40,6,0,1,1,0,28280,1
1330,Lettiere,640,Spain,Female,46,8,0,2,1,0,89043,0
1331,Chou,849,Germany,Male,37,7,143452,2,1,1,17294,0
1332,Nnamutaezinwa,778,France,Male,38,3,145018,2,1,1,126702,0
1333,Nnamutaezinwa,539,Germany,Female,38,8,82407,1,1,0,13123,0
1335,Yin,649,Spain,Female,43,9,0,1,1,0,125870,1
1336,Larionova,618,Spain,Male,38,5,126473,1,1,0,91972,0
1337,Golubev,710,Germany,Female,30,10,133537,1,1,0,155593,0
1338,Norman,625,France,Male,52,5,164978,1,1,1,67788,0
1339,Capon,682,Spain,Male,46,7,128029,1,1,1,62615,0
1340,Chukwudi,649,Spain,Male,43,2,97403,1,1,1,107415,1
1342,Avdeeva,652,Spain,Male,71,4,0,1,1,1,120107,0
1343,Reid,670,Spain,Male,42,3,81589,1,1,0,188227,0
1344,Kennedy,460,Germany,Female,40,6,119507,2,1,0,91560,1
1345,Chan,568,Spain,Female,26,6,0,2,0,0,166495,0
1346,Wofford,643,France,Male,30,5,94443,1,1,1,165614,0
1347,Mai,521,France,Male,37,2,0,2,1,1,86372,0
1348,King,615,France,Male,32,7,92199,1,1,1,2755,0
1349,T'ao,575,Spain,Male,43,3,0,1,1,0,83594,0
1350,Hsu,717,France,Female,41,3,135756,1,1,1,103706,0
1351,White,648,France,Female,54,9,120633,1,0,0,5924,1
1352,Stephens,535,Germany,Male,48,5,134542,1,1,1,58203,1
1353,Frolov,626,Spain,Male,29,7,0,2,1,0,49361,0
1354,Lombardi,611,Spain,Male,52,7,0,1,0,1,73585,1
1355,Munro,734,Spain,Male,39,6,0,1,1,1,95135,0
1356,Hayward,709,France,Male,49,4,154344,2,1,1,38794,0
1357,Fields,591,France,Male,43,3,0,2,0,1,198926,0
1358,Onwumelu,664,France,Male,43,9,189026,2,1,1,56099,0
1359,Suffolk,431,France,Male,37,0,120764,1,1,1,117023,0
1360,Tsao,647,Germany,Female,22,3,97975,2,0,1,62083,0
1361,Judd,578,France,Male,32,4,0,2,1,1,141822,0
1362,Hamilton,555,Germany,Male,41,10,113270,2,1,1,185387,0
1363,T'ang,775,Spain,Male,30,4,0,2,0,1,57461,0
1364,Degtyarev,850,Germany,Male,39,3,124548,2,1,1,120380,0
1365,Kang,625,France,Male,43,8,201696,1,1,0,133020,1
1366,Hudson,645,Spain,Female,37,7,0,2,1,0,13589,0
1367,Jibunoh,608,Germany,Male,44,7,114203,1,1,1,77830,1
